date,result_codes,funded_codes,points_by_code,hits_by_code,hits_total,lo_capital_vnd,lo_payout_vnd,lo_pnl_vnd,xien_pairs,xien_wins,xien_losses,xien_capital_vnd,xien_payout_vnd,xien_pnl_vnd,total_capital_vnd,total_payout_vnd,total_pnl_vnd,components
2026-07-11,01|61|52|57|90|65|03|31|32|23|26|83|14|74|98|00|18|89|40|50|25|31|75|06|26|73|72,57|75|79|97,"{""57"":50,""75"":50,""79"":50,""97"":50}","{""57"":1,""75"":1,""79"":0,""97"":0}",2,4600000,8000000,3400000,57-75|57-79|57-97|75-79|75-97|79-97,1,5,600000,1600000,1000000,5200000,9600000,4400000,[]
2026-07-12,94|06|20|58|09|50|08|23|64|36|62|11|40|65|33|19|40|71|17|37|56|69|34|59|34|05|62,88|68|86,"{""68"":30,""86"":30,""88"":88}","{""68"":0,""86"":0,""88"":0}",0,3404000,0,-3404000,,0,0,0,0,0,3404000,0,-3404000,"[{""method_id"":""A1_VOLUME"",""pnl_vnd"":-2024000,""points_by_code"":{""88"":88},""selection"":[""88""]},{""method_id"":""THAN_VO_PICK"",""pnl_vnd"":-1380000,""points_by_code"":{""68"":30,""86"":30},""selection"":[""68"",""86""]}]"
2026-07-13,99|56|60|24|64|67|85|42|97|30|31|32|50|53|92|55|64|13|01|03|89|68|80|97|76|05|75,54|45,"{""45"":50,""54"":50}","{""45"":0,""54"":0}",0,2300000,0,-2300000,54-45,0,1,100000,0,-100000,2400000,0,-2400000,"[{""method_id"":""X2_CORE_EXACT"",""pnl_vnd"":-2300000,""points_by_code"":{""45"":50,""54"":50},""selection"":[""54"",""45""]},{""method_id"":""XIEN2"",""pnl_vnd"":-100000,""points_per_pair"":100,""selection"":[""54-45""]}]"
2026-07-14,47|64|46|33|92|75|86|66|17|48|88|17|57|10|19|82|90|49|89|79|74|12|99|68|39|05|75,88|54|45,"{""45"":50,""54"":50,""88"":50}","{""45"":0,""54"":0,""88"":1}",1,3450000,4000000,550000,,0,0,0,0,0,3450000,4000000,550000,"[{""capital_vnd"":1150000,""hits"":{""88"":1},""method_id"":""A1_VOLUME"",""payout_vnd"":4000000,""pnl_vnd"":2850000,""points_by_code"":{""88"":50},""selection"":[""88""]},{""capital_vnd"":2300000,""hits"":{""45"":0,""54"":0},""method_id"":""X2_CORE_EXACT_MANUAL"",""payout_vnd"":0,""pnl_vnd"":-2300000,""points_by_code"":{""45"":50,""54"":50},""selection"":[""54"",""45""]}]"
2026-07-15,19|72|01|11|06|35|85|47|18|92|38|44|83|19|86|95|57|00|70|08|77|80|33|72|53|05|92,31|13,"{""13"":50,""31"":50}","{""13"":0,""31"":0}",0,2300000,0,-2300000,,0,0,0,0,0,2300000,0,-2300000,"[{""capital_vnd"":2300000,""hits"":{""13"":0,""31"":0},""method_id"":""ROLL30_RESCUE50"",""payout_vnd"":0,""pnl_vnd"":-2300000,""points_by_code"":{""13"":50,""31"":50},""selection"":[""31"",""13""]}]"
