target_date,locked_through,status,active_methods,rules_applied,x2_h5pair,repeat2_count,max_frequency,baseline_points_by_code,shadow_points_by_code,baseline_capital_vnd,shadow_capital_vnd,capital_saving_vnd,coverage_effect,real_money_effect
2026-07-14,2026-07-13,NOT_APPLICABLE_CURRENT_DRAW,A1|X2,,2,2,2,"{""45"":50,""54"":50,""88"":50}","{""45"":50,""54"":50,""88"":50}",3450000,3450000,0,NONE,False
2026-07-15,2026-07-14,NOT_APPLICABLE_CURRENT_DRAW,A1,,4,2,2,"{""38"":50,""83"":50}","{""38"":50,""83"":50}",2300000,2300000,0,NONE,False
