province_code,province,rows,min_date,max_date,status
HUE,Thừa Thiên Huế,584,2020-01-06,2026-08-17,OK
KON_TUM,Kon Tum,341,2020-01-05,2026-08-16,OK
KHANH_HOA,Khánh Hòa,682,2020-01-01,2026-08-19,OK
