date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-08-06,Thursday,BINH_THUAN,066008,08900,73569,48632,77284,07287,81558,06766,26172,72494,90377,53854,4148,1712,0170,3655,001,85,97d5d08808bc7aae,https://xoso.com.vn/xsmn-06-08-2020.html,OK
2020-08-13,Thursday,BINH_THUAN,439016,13754,11474,81350,61759,95099,94750,73998,02532,15083,20818,52339,5652,7569,5566,4245,813,98,dfb1c0695d36bf0e,https://xoso.com.vn/xsmn-13-08-2020.html,OK
2020-08-20,Thursday,BINH_THUAN,242082,39033,70004,84534,61212,60052,74565,58663,72980,32110,77139,39847,0111,1811,0069,4076,987,70,50dc56500c6d25cd,https://xoso.com.vn/xsmn-20-08-2020.html,OK
2020-08-27,Thursday,BINH_THUAN,345448,16936,02314,43259,61428,82526,85134,57511,13115,16226,67801,06179,2854,9557,9120,6468,029,77,64ed54105241930b,https://xoso.com.vn/xsmn-27-08-2020.html,OK
2020-09-03,Thursday,BINH_THUAN,201108,79912,91095,22210,92015,22126,26362,54473,91944,27922,32463,79174,9615,0353,6559,5988,959,94,f9632f0ee2ef7140,https://xoso.com.vn/xsmn-03-09-2020.html,OK
2020-09-10,Thursday,BINH_THUAN,188923,98345,23893,19656,40163,03259,66757,71879,94280,49298,36575,67430,2087,1606,6297,2273,706,89,3448cec07339f9e7,https://xoso.com.vn/xsmn-10-09-2020.html,OK
2020-09-17,Thursday,BINH_THUAN,245936,77754,47607,53441,99508,83261,74107,75614,96700,02755,58763,33981,6183,3894,3902,3005,313,04,f7a8a8953a5081a6,https://xoso.com.vn/xsmn-17-09-2020.html,OK
2020-09-24,Thursday,BINH_THUAN,231487,64216,55973,33539,15988,82667,91773,99868,71136,25591,50939,78536,5373,5638,8198,1963,679,96,8dea402293eefe5a,https://xoso.com.vn/xsmn-24-09-2020.html,OK
2020-10-01,Thursday,BINH_THUAN,627304,07049,76342,40685,31386,61753,85489,92756,80204,28750,08782,94199,4366,4850,0701,8949,903,58,fa1b27d232962bb1,https://xoso.com.vn/xsmn-01-10-2020.html,OK
2020-10-08,Thursday,BINH_THUAN,528144,64543,95061,05902,78221,00899,64495,73554,62831,74899,56826,09682,6757,5841,0703,0909,980,23,b66b454abcc1a61f,https://xoso.com.vn/xsmn-08-10-2020.html,OK
2020-10-15,Thursday,BINH_THUAN,918227,50760,84773,11931,60846,88095,64260,13324,00610,26633,44668,12969,8689,5821,2793,9588,342,33,280dbfb6e1be275a,https://xoso.com.vn/xsmn-15-10-2020.html,OK
2020-10-22,Thursday,BINH_THUAN,395251,20476,90965,75877,06144,19837,40359,12160,37877,05802,70886,73399,4053,6208,7696,1335,284,93,8c9ed76701e76796,https://xoso.com.vn/xsmn-22-10-2020.html,OK
2020-10-29,Thursday,BINH_THUAN,351713,47214,72540,83170,20120,53845,45301,23660,99310,45181,36849,74390,4771,3798,3477,0871,166,84,95fe3835a6d1965f,https://xoso.com.vn/xsmn-29-10-2020.html,OK
2020-11-05,Thursday,BINH_THUAN,557848,26050,16606,10382,58597,92711,18151,21797,47788,95230,24763,35123,7796,4425,7842,3526,178,83,d14b61d643194df3,https://xoso.com.vn/xsmn-05-11-2020.html,OK
2020-11-12,Thursday,BINH_THUAN,873143,79901,47784,24766,58534,75782,37820,99611,53802,42872,11659,72303,4640,9550,0806,6786,434,24,91cf419f40b5776d,https://xoso.com.vn/xsmn-12-11-2020.html,OK
2020-11-19,Thursday,BINH_THUAN,765131,00793,37469,45915,29607,32159,99673,71788,35886,80484,44241,82289,4542,8454,7166,6955,863,09,98325fe48b4e08b6,https://xoso.com.vn/xsmn-19-11-2020.html,OK
