date,weekday,province_code,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8,signature,source_url,qc_status
2020-08-06,Thursday,AN_GIANG,631526,89207,13133,16677,57286,14549,97964,37237,32539,92755,27434,26071,4156,7309,3121,6882,972,24,83d9dc562c7e6082,https://xoso.com.vn/xsmn-06-08-2020.html,OK
2020-08-13,Thursday,AN_GIANG,362626,18128,14394,67890,50942,08938,70914,43390,17166,35309,30100,80110,6897,0016,1912,2548,248,89,06d1f7550cd91a3b,https://xoso.com.vn/xsmn-13-08-2020.html,OK
2020-08-20,Thursday,AN_GIANG,441818,13491,51693,29233,34857,21329,89706,51057,30764,81807,71306,84753,1963,7230,9641,4888,493,22,f8b9715c8353efd4,https://xoso.com.vn/xsmn-20-08-2020.html,OK
2020-08-27,Thursday,AN_GIANG,264348,94434,08932,81200,40647,47623,59988,40381,65875,99734,75009,41057,2542,3518,1592,2531,089,71,179f8e7763ae1970,https://xoso.com.vn/xsmn-27-08-2020.html,OK
2020-09-03,Thursday,AN_GIANG,584393,61124,26406,12983,84668,79435,14569,54842,24968,08372,47041,30498,3679,2398,0748,3643,056,35,a75338f2917dfc7c,https://xoso.com.vn/xsmn-03-09-2020.html,OK
2020-09-10,Thursday,AN_GIANG,934404,93596,67618,15136,21647,41602,35254,35215,45202,89383,64998,02880,6990,7567,3144,9102,524,69,cffef0479635765c,https://xoso.com.vn/xsmn-10-09-2020.html,OK
2020-09-17,Thursday,AN_GIANG,888379,44866,11105,60016,41602,67034,86504,58639,76867,80096,44450,93263,1151,5243,5433,5807,471,18,f33675645ae908ff,https://xoso.com.vn/xsmn-17-09-2020.html,OK
2020-09-24,Thursday,AN_GIANG,277345,69977,07042,22050,39466,89640,59391,77177,93768,64746,12357,07338,2623,6198,3672,5235,715,46,de47342a9d54988a,https://xoso.com.vn/xsmn-24-09-2020.html,OK
2020-10-01,Thursday,AN_GIANG,245190,69186,18485,21082,47020,98086,56036,43802,34825,68777,93198,66978,6746,6947,4152,4764,965,02,7e76d385001f08fa,https://xoso.com.vn/xsmn-01-10-2020.html,OK
2020-10-08,Thursday,AN_GIANG,322371,85083,77990,42116,17485,19981,45863,56248,72441,05863,92754,13358,0694,6957,3457,1909,155,00,888e8e5f56dd06fb,https://xoso.com.vn/xsmn-08-10-2020.html,OK
